state,date,weekday,total_deaths,change,lag1_change,lag2_change,lag3_change,lag4_change,lag5_change,lag6_change,lag7_change,lag8_change,lag9_change,lag10_change,lag11_change,lag12_change,lag13_change,lag14_change,retail_rec,grocery_pharm,parks,transit,workplace,residential,driving,rollmean_retail_rec,rollmean_grocery_pharm,rollmean_parks,rollmean_transit,rollmean_workplace,rollmean_residential,rollmean_driving,retail_rec_lag14,grocery_pharm_lag14,parks_lag14,transit_lag14,workplace_lag14,residential_lag14,driving_lag14,retail_rec_lag21,grocery_pharm_lag21,parks_lag21,transit_lag21,workplace_lag21,residential_lag21,driving_lag21,first_death,day_no
Alabama,2020-01-22,Wednesday,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.33,NaN,NaN,NaN,NaN,NaN,NaN,113.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-63
Alabama,2020-01-23,Thursday,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.53,NaN,NaN,NaN,NaN,NaN,NaN,107.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-62
Alabama,2020-01-24,Friday,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.69,NaN,NaN,NaN,NaN,NaN,NaN,105.82333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-61
Alabama,2020-01-25,Saturday,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.09,NaN,NaN,NaN,NaN,NaN,NaN,105.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-60
Alabama,2020-01-26,Sunday,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.45,NaN,NaN,NaN,NaN,NaN,NaN,104.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-59
Alabama,2020-01-27,Monday,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.85,NaN,NaN,NaN,NaN,NaN,NaN,105.42142857142856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-58
Alabama,2020-01-28,Tuesday,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.6,NaN,NaN,NaN,NaN,NaN,NaN,105.95571428571428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-57
Alabama,2020-01-29,Wednesday,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.95,NaN,NaN,NaN,NaN,NaN,NaN,106.19714285714285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-56
Alabama,2020-01-30,Thursday,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.32,NaN,NaN,NaN,NaN,NaN,NaN,106.95857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-55
Alabama,2020-01-31,Friday,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.43,NaN,NaN,NaN,NaN,NaN,NaN,107.24285714285715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-54
Alabama,2020-02-01,Saturday,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.78,NaN,NaN,NaN,NaN,NaN,NaN,107.22857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-53
Alabama,2020-02-02,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.78,NaN,NaN,NaN,NaN,NaN,NaN,107.12428571428572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-52
Alabama,2020-02-03,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.84,NaN,NaN,NaN,NaN,NaN,NaN,106.58571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-51
Alabama,2020-02-04,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,101.5,NaN,NaN,NaN,NaN,NaN,NaN,106.36428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-50
Alabama,2020-02-05,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,97.22,NaN,NaN,NaN,NaN,NaN,NaN,105.98714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-49
Alabama,2020-02-06,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,105.55,NaN,NaN,NaN,NaN,NaN,NaN,106.51857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-48
Alabama,2020-02-07,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,127.88,NaN,NaN,NaN,NaN,NaN,NaN,106.50714285714285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-47
Alabama,2020-02-08,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,121.14,NaN,NaN,NaN,NaN,NaN,NaN,107.18571428571428,NaN,NaN,NaN,NaN,NaN,NaN,113.41,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-46
Alabama,2020-02-09,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,91.5,NaN,NaN,NaN,NaN,NaN,NaN,108.52428571428571,NaN,NaN,NaN,NaN,NaN,NaN,107.218,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-45
Alabama,2020-02-10,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,100.76,NaN,NaN,NaN,NaN,NaN,NaN,110.97,NaN,NaN,NaN,NaN,NaN,NaN,105.82333333333334,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-44
Alabama,2020-02-11,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,106.25,NaN,NaN,NaN,NaN,NaN,NaN,114.50428571428571,NaN,NaN,NaN,NaN,NaN,NaN,105.22,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-43
Alabama,2020-02-12,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,106.59,5,2,39,7,2,-1,116.72571428571429,NaN,NaN,NaN,NaN,NaN,NaN,104.88,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-42
Alabama,2020-02-13,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,122.67,2.5,0,16,5,0.5,0,117.60571428571428,NaN,NaN,NaN,NaN,NaN,NaN,105.42142857142856,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-41
Alabama,2020-02-14,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,152.62,2.6666666666666665,0,16.333333333333332,5.666666666666667,-5.333333333333333,1.3333333333333333,119.40571428571428,NaN,NaN,NaN,NaN,NaN,NaN,105.95571428571428,NA,NA,NA,NA,NA,NA,NA,2020-03-25,-40
Alabama,2020-02-15,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,39,7,2,-1,136.69,1,-0.75,9.5,4,-3.75,1.5,119.74285714285715,NaN,NaN,NaN,NaN,NaN,NaN,106.19714285714285,NaN,NaN,NaN,NaN,NaN,NaN,113.41,2020-03-25,-39
Alabama,2020-02-16,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-7,3,-1,1,97.66,1.6,-0.4,8.8,4,-2.8,1.2,120.57428571428571,NaN,NaN,NaN,NaN,NaN,NaN,106.95857142857143,NaN,NaN,NaN,NaN,NaN,NaN,107.218,2020-03-25,-38
Alabama,2020-02-17,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,7,-17,4,113.36,0.16666666666666666,-1.3333333333333333,3.1666666666666665,3.1666666666666665,-2.3333333333333335,1.5,119.69714285714285,NaN,NaN,NaN,NaN,NaN,NaN,107.24285714285715,NaN,NaN,NaN,NaN,NaN,NaN,105.82333333333334,2020-03-25,-37
Alabama,2020-02-18,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-3,-11,-1,1,2,108.61,0.5714285714285714,-1.1428571428571428,4.428571428571429,4,-1.8571428571428572,1.2857142857142858,119.16571428571429,NaN,NaN,NaN,NaN,NaN,NaN,107.22857142857143,NaN,NaN,NaN,NaN,NaN,NaN,105.22,2020-03-25,-36
Alabama,2020-02-19,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,4,1,0,112.41,0.5714285714285714,-0.8571428571428571,5.428571428571429,4.857142857142857,-1.2857142857142858,1.2857142857142858,119.89428571428572,NaN,NaN,NaN,NaN,NaN,NaN,107.12428571428572,NaN,NaN,NaN,NaN,NaN,NaN,104.88,2020-03-25,-35
Alabama,2020-02-20,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-6,-25,-1,0,3,116.53,1,-0.2857142857142857,9.857142857142858,6.714285714285714,-0.8571428571428571,1.1428571428571428,120.33857142857143,NaN,NaN,NaN,NaN,NaN,NaN,106.58571428571429,NaN,NaN,NaN,NaN,NaN,NaN,105.42142857142856,2020-03-25,-34
Alabama,2020-02-21,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,9,1,0,148.9,0.2857142857142857,-0.7142857142857143,5.571428571428571,6,1.2857142857142858,0.8571428571428571,119.82571428571428,NaN,NaN,NaN,NaN,NaN,NaN,106.36428571428571,NaN,NaN,NaN,NaN,NaN,NaN,105.95571428571428,2020-03-25,-33
Alabama,2020-02-22,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,46,13,6,-1,141.79,1.8571428571428572,0.14285714285714285,11,7.142857142857143,1,0.5714285714285714,120.83,NaN,NaN,NaN,NaN,NaN,NaN,105.98714285714286,NaN,NaN,NaN,NaN,NaN,NaN,106.19714285714285,2020-03-25,-32
Alabama,2020-02-23,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,24,16,2,0,100.77,3.5714285714285716,0.7142857142857143,11.142857142857142,8.142857142857142,0.8571428571428571,0.42857142857142855,121.36,NaN,NaN,NaN,NaN,NaN,NaN,106.51857142857143,NaN,NaN,NaN,NaN,NaN,NaN,106.95857142857143,2020-03-25,-31
Alabama,2020-02-24,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,-13,2,-2,2,109.77,6.285714285714286,2.4285714285714284,16.714285714285715,9.571428571428571,1.1428571428571428,-0.14285714285714285,122.66857142857143,NaN,NaN,NaN,NaN,NaN,NaN,106.50714285714285,NaN,NaN,NaN,NaN,NaN,NaN,107.24285714285715,2020-03-25,-30
Alabama,2020-02-25,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,27,7,-1,0,115.64,7.571428571428571,3.2857142857142856,17.857142857142858,9.714285714285714,1.1428571428571428,-0.2857142857142857,123.23142857142857,NaN,NaN,NaN,NaN,NaN,NaN,107.18571428571428,NaN,NaN,NaN,NaN,NaN,NaN,107.22857142857143,2020-03-25,-29
Alabama,2020-02-26,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,7,11,0,-1,116.12,9,4.142857142857143,19.142857142857142,10.714285714285714,1,-0.5714285714285714,124.31571428571428,NaN,NaN,NaN,NaN,NaN,NaN,108.52428571428571,NaN,NaN,NaN,NaN,NaN,NaN,107.12428571428572,2020-03-25,-28
Alabama,2020-02-27,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,14,9,2,-1,125.69,10.857142857142858,5.285714285714286,23.285714285714285,11.428571428571429,1.2857142857142858,-0.8571428571428571,124.85285714285715,NaN,NaN,NaN,NaN,NaN,NaN,110.97,NaN,NaN,NaN,NaN,NaN,NaN,106.58571428571429,2020-03-25,-27
Alabama,2020-02-28,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,20,10,1,-1,152.84,12.285714285714286,6.285714285714286,24.857142857142858,11.857142857142858,1.8571428571428572,-1.1428571428571428,124.99,NaN,NaN,NaN,NaN,NaN,NaN,114.50428571428571,NaN,NaN,NaN,NaN,NaN,NaN,106.36428571428571,2020-03-25,-26
