FID,STATENS,GEOID,STUSPS,NAME,ALAND,AWATER,B19001_001E,B19001_001M,B19001_002E,B19001_002M,B19001_003E,B19001_003M,B19001_004E,B19001_004M,B19001_005E,B19001_005M,B19001_006E,B19001_006M,B19001_007E,B19001_007M,B19001_008E,B19001_008M,B19001_009E,B19001_009M,B19001_010E,B19001_010M,B19001_011E,B19001_011M,B19001_012E,B19001_012M,B19001_013E,B19001_013M,B19001_014E,B19001_014M,B19001_015E,B19001_015M,B19001_016E,B19001_016M,B19001_017E,B19001_017M,B19001_calc_numLT75E,B19001_calc_numLT75M,B19001_calc_pctLT75E,B19001_calc_pctLT75M,B19001_calc_pct7599E,B19001_calc_pct7599M,B19001_calc_numGE100E,B19001_calc_numGE100M,B19001_calc_pctGE100E,B19001_calc_pctGE100M,SHAPE_Length,SHAPE_Area
1,01779775,01,AL,Alabama,131174048583,4593327154,1860269,6522,163312,2676,117629,2606,114088,2510,108736,1883,100244,2115,98408,2435,89216,1920,86970,2274,74023,1567,147857,2418,176464,2939,213319,3268,139638,2736,82409,1887,78452,2187,69504,1615,1276947,7746,68.6,0.339801444229866,11.5,0.17101140605229,370003,4294,19.9,0.220041860473884,18.9333185517549,12.8925460541056
2,01785533,02,AK,Alaska,1478839695958,245481577452,253462,1351,10230,612,7609,558,7962,492,8567,588,8830,598,8897,549,8630,632,9759,661,8172,547,18000,933,27311,1122,36073,1169,29553,1121,20043,881,23692,891,20134,917,123967,2280,48.9,0.860938445834747,14.2,0.454931674085602,93422,1915,36.9,0.729547312868541,437.197604060862,282.096958130636
3,01779777,04,AZ,Arizona,294198551143,1027337603,2524300,6840,170434,2907,111075,2320,118026,2350,126194,2140,125448,2823,125317,2468,118929,2182,123277,2663,107425,2398,210570,2963,262334,3299,315900,3575,211274,2715,131233,2328,133172,2252,133692,2275,1599029,8675,63.3,0.297724742541439,12.5,0.137503913606349,609371,4800,24.1,0.178546850994552,23.8948414586843,28.9179175030548
4,00068085,05,AR,Arkansas,134768872727,2962859592,1152175,4053,93423,2190,74534,1930,70617,1758,73576,1799,69556,1781,65675,1729,61375,1844,60069,1670,51743,1624,95124,2295,111457,2156,124254,2430,78338,1770,44816,1326,39928,1337,37690,1296,827149,6305,71.8,0.485470602614346,10.8,0.207465619233945,200772,2891,17.4,0.243314256756851,22.0939053696752,13.5853885332159
5,01779778,06,CA,California,403503931312,20463871877,12965435,19785,656515,5476,573531,5614,499894,4756,536077,5470,510114,4238,513108,5168,480115,4412,495884,5660,439574,4621,880868,6541,1184505,6837,1589511,8426,1225091,7866,877148,7280,1082448,9078,1421052,9258,6770185,17919,52.2,0.112922956812203,12.3,0.0622372652672477,4605739,16822,35.5,0.117878242773018,42.5872524171197,41.6687359778153
6,01779779,08,CO,Colorado,268422891711,1181621593,2113387,4542,107807,2019,73311,1785,73097,1746,81688,1790,83573,2037,88139,1876,87818,1823,88689,1837,79871,1903,163943,2658,212739,2996,288416,3617,212974,3304,145127,2313,159913,2247,166282,2383,1140675,6895,54,0.304935745901401,13.6,0.168615201803519,684296,5196,32.4,0.235807761297267,22.0242315486413,28.0397659041687
7,01779780,09,CT,Connecticut,12542497068,1815617571,1367374,3671,70710,1760,48894,1571,48387,1411,52382,1595,49434,1460,48131,1640,49118,1411,50303,1543,46092,1522,91410,2224,120646,2527,170246,2811,133855,2248,101684,2204,123672,1983,162410,2323,675507,5740,49.4,0.398280058216529,12.5,0.202840824186618,521621,4386,38.1,0.303971394393267,6.22310541142148,1.39628072991218
8,01779781,10,DE,Delaware,5045925646,1399985648,357765,1676,19901,1004,12769,715,12490,753,15416,759,15365,837,16843,913,15105,827,14978,972,13875,796,27672,961,36996,1269,50512,1454,34311,1202,22450,903,25568,1029,23514,950,201410,2999,56.3,0.795692126533833,14.1,0.400993845032666,105843,2055,29.6,0.557428669306294,4.67162913472449,0.545511857351966
9,01702382,11,DC,District of Columbia,158340391,18687198,281322,1459,25944,1070,12630,726,9426,726,8331,672,9622,759,8259,616,6817,630,7775,573,7474,687,14176,874,20711,973,30248,1077,26126,1046,19635,907,26806,1050,47342,1165,131165,2552,46.6,0.874324442281107,10.8,0.378752423410837,119909,2092,42.6,0.710016315289003,0.684594836003703,0.0183837219324408
10,00294478,12,FL,Florida,138949136250,31361101223,7621760,23468,520876,5685,360160,4358,389340,4319,410675,4517,410787,4654,402990,5032,382842,5020,377521,4820,331613,4438,630925,6020,770510,7117,907315,8829,592612,6327,356367,5144,368189,5292,409038,5026,4988239,17099,65.4,0.0985958945011521,11.9,0.109887368308466,1726206,10943,22.6,0.125502447950903,39.5978045276681,13.8862823648616
11,01705317,13,GA,Georgia,149482048342,4422936154,3709488,9402,269435,4048,178646,3450,181252,3434,186094,3349,184985,3193,181841,3210,167952,3076,173008,3085,155100,2861,291450,3781,367877,4623,453876,5152,307352,3993,193627,3492,201822,2707,215171,3304,2337640,11603,63,0.268937569053608,12.2,0.13538050526525,917972,6810,24.7,0.172536200818052,21.4853431905829,14.6703789023515
12,01779782,15,HI,Hawaii,16633990195,11777809026,456782,2081,24195,1009,13813,656,14000,848,14398,769,14515,715,15762,792,14993,880,17106,828,14490,852,31024,1048,44890,1370,64472,1502,50968,1249,37338,991,42240,1157,42578,1117,219186,3010,48,0.621639407711474,14.1,0.322473545724295,173124,2265,37.9,0.464825917202912,14.0854992179266,1.44529367988977
13,01779783,16,ID,Idaho,214049787659,2391722557,618331,2254,38492,1420,29568,1186,29865,1327,33635,1364,31268,1131,34988,1332,32391,1339,31324,1383,28244,1212,54943,1524,70028,1668,76641,1850,51057,1636,28311,1097,25253,1317,22323,1041,414746,4514,67.1,0.687865493821082,12.4,0.295761170299723,126944,2588,20.5,0.411800952530928,31.2426426665554,24.456619584613
14,01779784,17,IL,Illinois,143780567633,6214824948,4830038,9750,314802,3060,194284,3185,210540,3111,220865,3069,206622,2913,209338,2654,198458,2998,201578,2945,177177,2714,359558,4398,469039,4468,613917,5303,452341,3990,298758,3808,335066,4287,367695,3357,2762261,10884,57.2,0.193522400804975,12.7,0.106752052618935,1453860,7750,30.1,0.148504675356926,21.5253196960412,15.4078883191885
15,00448508,18,IN,Indiana,92789302676,1538002829,2553818,7375,161937,2778,117149,2101,130218,2630,132008,2881,132773,2117,135371,2248,126209,2396,128048,2407,112088,2070,218078,3215,274815,3321,335317,3800,214337,3138,125469,2168,113344,2615,96657,1973,1668694,8606,65.3,0.279202031910394,13.1,0.143884572854581,549807,5028,21.5,0.18680761508377,17.284632901779,9.87381167137403
16,01779785,19,IA,Iowa,144661267977,1084180812,1256855,4146,68502,1519,55656,1478,59026,1388,60647,1459,59917,1426,61240,1331,57473,1248,61014,1381,53332,1430,104907,1908,137981,1953,178095,2513,116267,2138,68003,1803,61585,1556,53210,1348,779695,5032,62,0.344115449417479,14.2,0.194403082651577,299065,3473,23.8,0.264942134593802,20.7718492972972,15.8575885904659
17,00481813,20,KS,Kansas,211755344060,1344141205,1124549,4096,65369,1423,49481,1223,51662,1533,53743,1489,57200,1529,57142,1480,53796,1498,55380,1528,48322,1246,92506,2124,120175,2210,147236,1887,100104,2050,59025,1432,58781,1286,54627,1544,704776,5305,62.7,0.412837178548577,13.1,0.16088136091239,272537,3208,24.2,0.271268825370393,21.4258156705789,22.0047252197823
18,01779786,21,KY,Kentucky,102279490672,2375337755,1728681,5065,152774,2415,105004,2162,100724,2408,97642,2124,94969,2216,93022,1979,85583,1568,84813,1947,73021,1850,137713,2460,169150,2607,199666,2866,129000,2641,76995,1873,67534,1692,61071,1342,1194415,7222,69.1,0.365448363940353,11.6,0.162300443008517,334600,3892,19.4,0.217882991510733,22.847413340513,10.6680684260448
19,01629543,22,LA,Louisiana,111897594374,23753621895,1736021,5617,167068,3036,108333,2155,107587,2297,104135,2273,97404,2192,87724,2002,77778,2123,77475,1860,69014,1832,126646,2568,154607,2356,188543,3353,131031,2473,82248,2066,81945,2100,74483,1944,1177771,7522,67.8,0.373570727075829,10.9,0.189919228620033,369707,4310,21.3,0.238515219512718,35.5659756381557,11.5816355139032
20,01779787,23,ME,Maine,79887426037,11746549764,556955,2215,33789,1144,30791,1067,29911,985,27098,1096,27207,985,28358,1114,26883,952,24690,1089,23151,923,45847,1234,59728,1453,74153,1821,49024,1470,27811,1002,25562,929,22952,956,357453,3662,64.2,0.605939438427576,13.3,0.322640405081733,125349,2223,22.5,0.388969158463832,27.8390026630017,9.76926217787924
21,01714934,24,MD,Maryland,25151100280,6979966958,2192518,5412,103376,2233,63381,1868,65727,2022,66417,1784,71878,1730,73649,1803,72866,1730,76848,1833,69274,1899,149066,2547,201098,3378,286460,3080,238462,3298,174830,2899,222637,3109,256549,3417,1013580,7060,46.2,0.301106733193927,13.1,0.136725670304866,892478,6374,40.7,0.272800368269276,24.5122747815147,2.81476317423752
22,00606926,25,MA,Massachusetts,20205125364,7129925486,2601914,4637,141665,2941,117095,2460,99967,2016,96039,2028,90190,2140,92898,1894,84349,2065,87098,2061,77960,1814,159016,2813,223272,2911,311620,3080,262710,3077,199140,2848,247215,3202,311680,3245,1269549,7696,48.8,0.2827114415288,12,0.116434230031003,1020745,6194,39.2,0.227557393843665,15.9803819055959,2.32503710373384
23,01779789,26,MI,Michigan,146600952990,103885855702,3909509,9207,270974,2738,182415,2828,193595,2544,200896,2458,194588,2914,201336,2701,185299,2086,189195,3016,166406,2296,318176,3776,400946,3164,485187,3790,329368,3761,202211,2876,201893,2293,187024,2159,2503826,9316,64,0.184482649461768,12.4,0.0924324422959702,920496,5686,23.5,0.13445538433763,51.3733218726682,17.0807032975216
24,00662849,27,MN,Minnesota,206228939448,18945217189,2167801,5845,95813,1904,84069,1630,80874,1521,87853,1724,87858,1653,89569,1673,88183,1845,91810,1564,83183,1766,165587,2313,224732,2745,303935,2635,221933,2595,151454,2244,156891,1824,154057,1882,1179531,6241,54.4,0.247710348617359,14,0.115523848702406,684335,4317,31.6,0.180035143900195,35.1165995136611,25.5388628835239
25,01779790,28,MS,Mississippi,121533519481,3926919758,1105576,4591,113175,2676,76319,2000,74327,2100,68278,2099,65117,1765,61203,1911,54498,1821,53790,2000,47283,1590,84396,2050,102096,2608,123926,2248,73926,2111,40786,1535,36688,1366,29768,1211,800482,6899,72.4,0.546809191003903,11.2,0.197933438959514,181168,3185,16.4,0.279933187787173,24.8546577861667,11.8878209486085
26,01779791,29,MO,Missouri,178050802184,2489425460,2396271,6753,158836,2947,118404,2527,122333,2350,127388,2233,124137,2070,129224,2064,119243,2278,120404,2131,104302,2061,195669,2601,249084,3000,300226,3645,195077,2728,115715,2121,111519,2049,104710,1812,1569024,7992,65.5,0.277821944720195,12.5,0.147956768733926,527021,4407,22,0.17315202052203,24.9235744814391,18.6150046049832
27,00767982,30,MT,Montana,376962738765,3869208832,423240,2033,27058,1121,22449,904,21411,1048,23392,931,23565,980,23372,878,21503,858,21227,948,18170,809,35694,1188,45157,1418,51580,1245,34101,1212,19422,847,18200,797,16939,762,282998,3388,66.9,0.733232920291867,12.2,0.288275742999758,88662,1845,20.9,0.424150412609958,36.7089711839548,45.0783431380494
28,01779792,31,NE,Nebraska,198956658395,1371829134,754063,2749,40512,1308,31484,948,33014,1023,36057,1083,36302,1185,37232,1212,36912,1406,35040,1165,32310,1001,63275,1331,82615,1585,103433,1750,71539,1340,42044,1191,38623,1164,33671,925,464753,4040,61.6,0.48637251060952,13.7,0.226624704200265,185877,2329,24.7,0.295497998932206,24.2564936359105,21.6137959484287
29,01779793,32,NV,Nevada,284329506470,2047206072,1075930,3357,66099,1726,42870,1450,46175,1509,52503,1706,52723,1260,55785,1403,52494,1773,52288,1603,46946,1489,89534,1800,116327,2425,143651,2577,94826,1835,56822,1472,56228,1643,50659,1305,673744,5557,62.6,0.478102608975397,13.4,0.235863278473304,258535,3152,24,0.283200006921903,23.8648294084824,29.9399961420029
