FID,STATENS,GEOID,STUSPS,NAME,ALAND,AWATER,B28001_001E,B28001_001M,B28001_002E,B28001_002M,B28001_003E,B28001_003M,B28001_004E,B28001_004M,B28001_005E,B28001_005M,B28001_006E,B28001_006M,B28001_007E,B28001_007M,B28001_008E,B28001_008M,B28001_009E,B28001_009M,B28001_010E,B28001_010M,B28001_011E,B28001_011M,B28001_calc_pctNoCompE,B28001_calc_pctNoCompM,B28002_002E,B28002_002M,B28002_003E,B28002_003M,B28002_004E,B28002_004M,B28002_005E,B28002_005M,B28002_006E,B28002_006M,B28002_007E,B28002_007M,B28002_008E,B28002_008M,B28002_009E,B28002_009M,B28002_010E,B28002_010M,B28002_011E,B28002_011M,B28002_012E,B28002_012M,B28002_013E,B28002_013M,B28002_calc_pctNoIntE,B28002_calc_pctNoIntM,SHAPE_Length,SHAPE_Area
1,01779775,01,AL,Alabama,131174048583,4593327154,1860269,6522,1551296,7580,1271176,8423,159860,2961,1318440,7030,150961,2893,950671,8000,17875,825,62584,1737,1691,236,308973,3680,16.6,0.349051494522513,1373714,8205,9396,661,1364318,8150,992262,7293,227399,2675,1049454,7828,322039,3814,127721,2723,26833,1214,3771,458,69886,2046,416669,4087,22.4,0.205186009672532,18.9333185517549,12.8925460541056
2,01785533,02,AK,Alaska,1478839695958,245481577452,253462,1351,236598,1381,208835,1510,18488,765,207707,1686,13623,762,156966,1987,1466,201,19996,1020,177,70,16864,727,6.7,0.532677008768918,214890,1486,1188,236,213702,1478,164399,1763,29838,1029,173443,1642,43670,1257,13041,569,2713,246,763,145,7555,521,31017,1042,12.2,0.405899441303228,437.197604060862,282.096958130636
3,01779777,04,AZ,Arizona,294198551143,1027337603,2524300,6840,2269063,8263,2010742,9272,228761,3291,1941435,7600,135117,2700,1451254,9323,15978,813,97767,2137,1559,235,255237,3804,10.1,0.270537459565171,2074996,8470,10605,678,2064391,8390,1470503,8497,236143,3612,1713499,8563,514689,4604,196515,3149,38863,1393,5878,482,78333,2003,370971,4497,14.7,0.173640793484376,23.8948414586843,28.9179175030548
4,00068085,05,AR,Arkansas,134768872727,2962859592,1152175,4053,969432,4727,783681,5529,100216,1884,826997,4564,102143,2527,581266,5293,8989,607,36089,1359,989,222,182743,2876,15.9,0.349534470916615,811029,6170,6394,597,804635,6056,574254,5679,156185,2614,579440,6553,192503,2956,89939,1702,23027,935,1760,302,71747,2599,269399,3323,23.4,0.276434218779073,22.0939053696752,13.5853885332159
5,01779778,06,CA,California,403503931312,20463871877,12965435,19785,11886064,24688,10643437,33961,930415,5958,10469892,21166,605877,7925,7954613,29825,74656,1940,744795,10622,12726,788,1079371,8238,8.3,0.152506338415881,11032304,29326,50736,1414,10981568,29085,8186285,27502,1054391,7328,9464180,29892,2496550,10354,872783,7596,128026,2282,26397,1168,346239,3953,1586892,12067,12.2,0.0911772512738663,42.5872524171197,41.6687359778153
6,01779779,08,CO,Colorado,268422891711,1181621593,2113387,4542,1962259,5290,1784750,6335,171728,2528,1709320,5404,87798,2270,1297222,6648,11818,757,83742,1836,1493,210,151128,2210,7.2,0.214785543732167,1822635,5693,11477,642,1811158,5641,1338181,7032,162887,2782,1548988,6047,413459,3313,154490,2116,30712,993,4882,457,61721,1547,229031,2552,10.8,0.118486612703637,22.0242315486413,28.0397659041687
7,01779780,09,CT,Connecticut,12542497068,1815617571,1367374,3671,1224654,4382,1106700,5198,126812,2144,1034467,4398,53575,1883,803123,5836,11559,737,65363,2052,1356,289,142720,2219,10.4,0.267935945281954,1151633,4997,5729,484,1145904,4991,790598,6216,80064,1735,1042171,5057,332010,4118,45217,1502,6735,652,2051,320,37791,1206,177950,2662,13,0.191518872631132,6.22310541142148,1.39628072991218
8,01779781,10,DE,Delaware,5045925646,1399985648,357765,1676,321643,1811,276835,2240,33208,1071,272535,2185,20541,1119,207202,2238,2907,421,13742,914,579,184,36122,1046,10.1,0.467532954145668,296341,1861,1414,209,294927,1816,207604,1992,24122,942,262712,1850,81003,1489,12953,783,2346,338,377,169,12174,835,49250,1190,13.8,0.326309112288972,4.67162913472449,0.545511857351966
9,01702382,11,DC,District of Columbia,158340391,18687198,281322,1459,252564,1723,224575,1838,15468,627,227696,1813,15423,911,168596,1887,1597,256,10462,749,183,70,28758,909,10.2,0.517569881578957,225785,1976,703,171,225082,1972,173470,2246,18146,1076,201713,1765,47970,1412,9135,646,1281,249,386,124,10855,653,44682,1393,15.9,0.488262591354705,0.684594836003703,0.0183837219324408
10,00294478,12,FL,Florida,138949136250,31361101223,7621760,23468,6844107,26765,6074481,31200,719259,5578,5803630,22930,396202,6247,4339197,28430,55747,1736,357137,4603,7446,663,777653,6428,10.2,0.307787620589475,6188044,31629,32015,1347,6156029,31530,4276175,31430,593733,7031,5367439,31790,1729975,9913,375168,5812,55902,1688,11809,723,296018,4518,1137698,9965,14.9,0.122399228478967,39.5978045276681,13.8862823648616
11,01705317,13,GA,Georgia,149482048342,4422936154,3709488,9402,3287853,11380,2849294,13932,275472,3214,2874534,9990,223180,4323,2145312,13213,25901,1159,160604,3302,3042,357,421635,4655,11.4,0.253056493450658,2944379,14359,12358,777,2932021,14202,2133801,13783,340531,4645,2462137,14957,712475,5677,239365,3719,37912,1427,6053,589,138011,2833,627098,7054,16.9,0.185270839993449,21.4853431905829,14.6703789023515
12,01779782,15,HI,Hawaii,16633990195,11777809026,456782,2081,411022,2152,370121,2321,36902,1184,355441,2255,19201,790,276392,2173,3589,356,17113,876,365,121,45760,1372,10,0.454583595388252,382400,2471,1856,277,380544,2433,286285,2545,32565,1232,339602,2411,88061,1663,15365,726,2156,339,546,162,13951,777,60431,1683,13.2,0.363483940258914,14.0854992179266,1.44529367988977
13,01779783,16,ID,Idaho,214049787659,2391722557,618331,2254,557848,2898,501300,3210,68200,2126,461649,3378,26548,1206,356763,3920,4431,417,20116,997,368,118,60483,1919,9.8,0.363263412511961,497629,3236,4674,463,492955,3319,352921,3205,58756,1842,381628,3461,112630,2131,67478,1782,18893,896,2041,377,24144,1156,96558,2312,15.6,0.369551216261803,31.2426426665554,24.456619584613
14,01779784,17,IL,Illinois,143780567633,6214824948,4830038,9750,4264785,11482,3757925,15261,404624,3546,3666958,10841,255313,4013,2761257,13080,34382,1205,215456,3744,4856,409,565253,4625,11.7,0.20155048106026,3913465,13941,22253,826,3891212,13734,2877525,13575,434652,4373,3274374,14208,900976,5817,290748,4259,49926,1565,10538,773,165110,2804,751463,6000,15.6,0.120187065015619,21.5253196960412,15.4078883191885
15,00448508,18,IN,Indiana,92789302676,1538002829,2553818,7375,2226068,8071,1915891,10266,248751,2521,1864900,7825,154014,3025,1396278,9238,22227,1088,87657,2172,2327,278,327750,3645,12.8,0.288201795521698,1996388,9932,15678,864,1980710,9830,1389881,10027,251246,3376,1602226,10144,519386,3808,174962,2979,39499,1421,5915,511,92384,1779,465046,4687,18.2,0.175833881834941,17.284632901779,9.87381167137403
16,01779785,19,IA,Iowa,144661267977,1084180812,1256855,4146,1101435,4432,969050,5363,131610,1791,912757,4283,65193,2100,694465,4741,10715,583,37952,1206,1441,226,155420,2093,12.4,0.329227616972734,1000292,5290,9856,503,990436,5176,703700,4607,122884,2533,797209,5647,248465,3049,95176,1751,21755,725,2435,311,46143,1376,210420,2415,16.7,0.184038704191768,20.7718492972972,15.8575885904659
17,00481813,20,KS,Kansas,211755344060,1344141205,1124549,4096,994601,4606,870880,5228,109167,1966,839629,4613,61433,1924,630472,4872,8652,565,36022,1141,873,180,129948,1860,11.6,0.363733096673075,900884,5426,5297,416,895587,5357,647714,5070,103777,1968,738939,5732,218105,2637,70151,1365,16184,690,3151,373,40355,1550,183310,2306,16.3,0.196276433472299,21.4258156705789,22.0047252197823
18,01779786,21,KY,Kentucky,102279490672,2375337755,1728681,5065,1458107,6311,1226898,7529,157172,2183,1223092,5797,112569,2462,920717,6316,18263,937,63525,1759,1629,227,270574,3203,15.7,0.291559158940433,1314687,6813,9056,557,1305631,6774,940098,6058,168631,2851,1063748,7043,321816,3507,108975,2215,23619,1031,2196,303,64026,2134,349968,3776,20.2,0.210224261486076,22.847413340513,10.6680684260448
19,01629543,22,LA,Louisiana,111897594374,23753621895,1736021,5617,1449635,6657,1183086,7510,126885,2450,1259374,6434,144656,3093,883343,7588,13568,807,68548,1885,1174,232,286386,3012,16.5,0.322287564529499,1270391,7711,7137,599,1263254,7780,890390,7838,180171,2679,1006034,7082,325250,3595,119899,2389,25182,1158,2614,337,62830,2033,402800,4210,23.2,0.230595869897639,35.5659756381557,11.5816355139032
20,01779787,23,ME,Maine,79887426037,11746549764,556955,2215,492145,2235,446310,2560,79180,1553,379742,2495,18885,931,303295,2681,5552,435,18947,920,733,176,64810,1233,11.6,0.396862975271224,450622,2414,5220,377,445402,2518,286187,2506,34089,1009,393287,2635,146144,2047,22930,823,6109,425,946,172,20384,895,85949,1610,15.4,0.282481731858741,27.8390026630017,9.76926217787924
21,01714934,24,MD,Maryland,25151100280,6979966958,2192518,5412,2001671,6501,1817401,7706,173632,2312,1736801,6850,87532,2318,1352468,7395,14097,753,120139,2884,1622,252,190847,2873,8.7,0.246575811094975,1864111,7358,8461,538,1855650,7239,1356539,6999,160228,2469,1642142,7365,462227,3663,89674,1909,13692,718,3340,419,63453,1769,264954,3833,12.1,0.17225820237228,24.5122747815147,2.81476317423752
22,00606926,25,MA,Massachusetts,20205125364,7129925486,2601914,4637,2345531,6079,2138862,7317,240349,2789,1988777,6041,92609,2503,1549500,7776,21507,1053,106266,2405,2447,299,256383,3385,9.9,0.177753310307042,2212749,6863,9230,672,2203519,6839,1571826,7699,148941,2762,2015702,7219,594851,4919,66946,1625,9389,604,3744,533,65728,1895,323437,4218,12.4,0.160590602137848,15.9803819055959,2.32503710373384
23,01779789,26,MI,Michigan,146600952990,103885855702,3909509,9207,3442305,9862,2993928,12759,379837,3196,2884298,8507,223744,3440,2180610,10292,35683,924,124446,2238,4096,420,467204,3368,12,0.23527758045683,3106914,11654,20335,645,3086579,11610,2177437,10503,367920,4058,2542692,12160,807391,4331,234393,2615,55584,1136,7422,517,152096,2740,650499,4544,16.6,0.109424917386075,51.3733218726682,17.0807032975216
24,00662849,27,MN,Minnesota,206228939448,18945217189,2167801,5845,1958599,6011,1773623,7322,204715,2178,1658149,5873,84083,1921,1284907,6999,16887,753,76653,1549,1986,239,209202,1998,9.7,0.269481323492081,1811732,7012,15028,578,1796704,6973,1310868,7273,185768,2365,1513497,7021,432333,3378,137420,1654,27430,646,5085,381,71722,1723,284347,2724,13.1,0.120577578020444,35.1165995136611,25.5388628835239
25,01779790,28,MS,Mississippi,121533519481,3926919758,1105576,4591,901172,4832,702774,5601,80947,1945,783209,4700,110706,2510,536769,5292,9624,731,37849,1646,730,192,204404,2954,18.5,0.412309879209255,756863,5411,5211,477,751652,5462,546985,4892,163567,2769,517554,5174,166980,2877,97350,2027,22717,1008,2028,312,50209,1568,298504,3522,27,0.298184819857411,24.8546577861667,11.8878209486085
26,01779791,29,MO,Missouri,178050802184,2489425460,2396271,6753,2091864,7960,1800534,9436,232777,2646,1760343,7816,147141,2755,1306965,8966,19899,932,79366,1804,2474,336,304407,3467,12.7,0.281212875412637,1872545,9016,13456,714,1859089,8917,1352386,7566,252585,4138,1473093,9001,434784,4860,178869,2857,41922,1230,5138,454,94957,2153,428769,4352,17.9,0.174474893068577,24.9235744814391,18.6150046049832
27,00767982,30,MT,Montana,376962738765,3869208832,423240,2033,369326,2542,331972,2989,55280,1426,293277,2565,16834,973,226113,2479,3941,415,10824,661,337,99,53914,1351,12.7,0.478618006868741,334450,2725,3734,354,330716,2758,216518,2744,34600,1308,267379,2878,97801,1877,34731,1084,10137,536,1123,174,14724,822,74066,1734,17.5,0.400980615725983,36.7089711839548,45.0783431380494
28,01779792,31,NE,Nebraska,198956658395,1371829134,754063,2749,667596,3244,590756,3351,75685,1279,558866,3018,36762,1186,427921,3276,6003,470,26915,1061,660,134,86467,1569,11.5,0.363776798436418,615347,3479,4601,333,610746,3436,435256,3143,67759,1823,507900,3763,156313,2090,46704,1088,11274,569,1533,186,21717,852,116999,2013,15.5,0.260892381602516,24.2564936359105,21.6137959484287
29,01779793,32,NV,Nevada,284329506470,2047206072,1075930,3357,980878,4101,856822,4852,88778,1971,848432,4138,62434,1772,626460,4838,6632,620,57050,1860,940,225,95052,2238,8.8,0.311467535918912,879563,4701,4568,400,874995,4678,627159,5134,95269,1786,742811,4761,223494,2743,72088,1831,11018,781,1423,230,35157,1327,161210,2875,15,0.263089443360074,23.8648294084824,29.9399961420029
30,01779794,33,NH,New Hampshire,23189413166,1026675248,528078,2194,486930,2653,451013,2864,68249,1596,391179,2803,14961,959,313189,2830,3943,394,23727,1122,531,186,41148,1342,7.8,0.414996767694385,457944,2783,2501,315,455443,2784,305039,2634,27668,979,415923,2764,140960,2249,18311,792,4057,374,595,164,14099,941,56035,1486,10.6,0.277922952317895,9.91045061464274,2.68346583181512
31,01779795,34,NJ,New Jersey,19047825980,3544860246,3213362,6651,2896471,7894,2624125,9453,266324,3182,2498266,7117,126824,3010,1933834,9878,22580,909,139209,2567,3923,443,316891,3413,9.9,0.206714280521522,2713558,9081,11550,658,2702008,9035,1896098,10775,188554,3189,2463273,9021,761290,5977,101444,2095,14351,896,2743,346,82034,2022,417770,4318,13,0.131654459422972,8.66872038679264,2.13192116483281
32,00897535,35,NM,New Mexico,314196306401,728776523,775651,3254,649937,3675,551675,4203,74871,1809,542865,3845,53972,1850,391848,3892,6033,574,30802,1301,843,158,125714,2362,16.2,0.416605232880498,566165,4322,5085,511,561080,4215,391682,3991,80983,1864,439402,4102,140938,2387,56829,1492,15478,945,2274,311,27754,1075,181732,3448,23.4,0.433526850587416,23.6825625957018,30.8934905570075
33,01779796,36,NY,New York,122049149763,19246994695,7316537,13711,6456229,16791,5762918,20244,687662,5070,5448924,15090,331811,5269,4137617,19435,59671,1865,386747,5636,8712,613,860308,6284,11.8,0.187125078173635,5944262,20990,27920,1003,5916342,20938,3976245,23425,490278,4762,5282397,20953,1801340,8445,247734,3538,42405,1252,11517,768,232336,3564,1139939,8014,15.6,0.105569600880073,29.6122452307391,14.0164375431147
34,01027616,37,NC,North Carolina,125923656064,13466071395,3918597,8585,3424443,10215,2974311,13002,340826,3542,2921871,9123,231968,4522,2180577,12350,31907,1223,157465,3166,3015,326,494154,4572,12.6,0.218588900858372,3083649,13098,17214,747,3066435,13140,2182455,12413,335926,4467,2602290,14235,799174,5165,214559,3297,39902,1276,7399,669,139949,3081,694999,6178,17.7,0.152795182398093,36.7544322216564,12.8557460639137
35,01779797,38,ND,North Dakota,178707534813,4403267548,314903,1937,278839,2119,248300,2477,30416,1047,234906,2002,14740,835,179868,2039,2593,317,9757,646,233,75,36064,887,11.5,0.61426359463849,249972,2485,1274,206,248698,2486,179389,2341,22963,987,216342,2497,63226,1766,16210,940,2485,354,497,118,16345,1004,48586,1220,15.4,0.375616913173413,25.1867169586967,21.8399351631975
36,01085497,39,OH,Ohio,105828882568,10268850702,4654075,10201,4068830,10601,3523158,14461,459817,3940,3396596,9596,262698,4596,2592820,12517,43304,1021,155504,3381,4483,377,585245,4320,12.6,0.218873250445918,3734608,12529,24356,941,3710252,12364,2620072,10638,403485,4615,3140334,13816,987561,5905,245483,3221,49321,1336,8112,600,147953,2623,771514,5333,16.6,0.108674530946945,16.7290243788944,11.3379094763652
37,01102857,40,OK,Oklahoma,177662925723,3374587997,1474620,3107,1278772,3513,1050681,4318,117697,1662,1107308,3594,120970,2298,791309,4026,11151,572,71247,1562,1396,199,195848,2037,13.3,0.209898083572492,1123229,4143,6022,348,1117207,4129,836370,3674,198142,2408,824060,4710,229316,2290,118997,1410,31286,894,4201,353,59232,1519,292159,2494,19.8,0.16389562661401,27.5110143538771,18.0050412384029
38,01155107,41,OR,Oregon,248606993270,6192386935,1591835,4000,1461755,4769,1321567,6109,162082,2523,1231782,4708,66281,2167,937382,5055,10534,625,51191,1465,1363,212,130080,2393,8.2,0.250981868315091,1344359,5383,8667,560,1335692,5306,994296,5313,136488,2474,1119336,6094,297633,3427,103077,1960,25379,952,3570,383,55542,1568,191934,3118,12.1,0.19351710910794,25.5687781713341,28.1777401848714
39,01779798,42,PA,Pennsylvania,115884442321,3394589990,5025132,9263,4344824,10428,3848191,13358,546701,4240,3560337,9896,235564,4349,2741108,13151,46475,1188,173111,2738,4381,412,680308,4551,13.5,0.1839252579136,4014061,12998,33042,1119,3981019,13040,2759928,12437,353303,3864,3509566,13756,1132254,6447,182428,2650,34862,933,6494,495,147017,2891,864054,4867,17.2,0.0915201247946754,17.3320693266124,12.5356014063209
40,01219835,44,RI,Rhode Island,2677779902,1323670487,410885,1911,360113,2249,319959,2446,39527,1143,302061,2369,17359,1161,236514,2340,3777,418,14661,850,411,146,50772,1636,12.4,0.462483980522751,337669,2282,1569,277,336100,2254,236673,2575,29030,1322,301333,2327,94601,2158,10640,676,991,239,430,154,10638,741,62578,1565,15.2,0.37424063233625,5.16520325985205,0.309731708071618
41,01779799,45,SC,South Carolina,77864918488,5075218778,1894711,6012,1633709,6569,1380649,8931,156005,2883,1400019,6442,133309,3562,1025423,7840,15997,887,106632,2863,1971,337,261002,3102,13.8,0.31650183164182,1435645,8573,8018,535,1427627,8438,1026209,7691,179147,2855,1176644,8472,354441,4040,116475,2715,21362,995,4930,410,76648,2251,382418,4618,20.2,0.235166643743986,15.9989522190365,7.8616162049196
42,01785534,46,SD,South Dakota,196346981786,3382720225,341565,2003,296335,2264,262954,2519,39457,1115,239810,2398,15296,853,183449,2197,2916,365,12227,642,441,125,45230,1063,13.2,0.58496853830184,268325,2339,1888,209,266437,2333,180738,2248,27342,941,224701,2352,76173,1338,18905,752,4515,357,827,180,13243,759,59997,1019,17.6,0.279985871526647,23.8789650453139,22.5785607327672
43,01325873,47,TN,Tennessee,106802728188,2350123465,2567061,6524,2185963,7772,1845754,10424,217689,2791,1866243,7409,175654,3568,1383226,9170,20909,919,111171,2793,1908,249,381098,3547,14.8,0.2533135860347,1946113,9772,11214,662,1934899,9699,1406307,9022,273457,4276,1556576,10516,471025,4344,156012,2682,31197,1081,3373,353,98247,2366,522701,5350,20.4,0.201882797751749,22.6132620993731,10.8895099974347
44,01779801,48,TX,Texas,676653171537,19006305260,9553046,18343,8525218,22766,7208368,29966,615002,5411,7580422,20381,718165,8837,5501551,28663,59372,1926,448833,5964,7350,530,1027828,7498,10.8,0.191826268362177,7606748,28765,32581,1034,7574167,28550,5666347,27297,1117690,8801,6002201,31338,1645537,8224,735784,8274,132319,2531,20902,947,329802,3948,1616496,12458,16.9,0.126296335342983,70.6435609293775,65.2035735740501
45,01455989,49,UT,Utah,212886221680,6998824394,957619,2261,903951,2839,832235,3673,64774,1394,801802,3101,34212,1290,633637,3695,4517,485,33788,1228,505,125,53668,1544,5.6,0.235933454500432,824895,3348,4531,379,820364,3266,604741,4319,76356,1880,686848,3772,186429,2700,88024,1959,16533,963,2086,285,45096,1604,87628,2152,9.2,0.223683046525335,20.0016111070128,22.9749577424437
46,01779802,50,VT,Vermont,23874175944,1030416650,259589,1229,230736,1312,211971,1729,38158,984,176527,1479,7670,634,140717,1595,2632,289,9821,717,286,87,28853,897,11.1,0.471880285015829,210074,1442,1992,222,208082,1437,121676,1746,13872,672,184089,1495,78505,1463,12775,475,4060,269,634,145,11702,697,37813,1018,14.6,0.386046888708129,9.83288111891725,2.79808872033157
