state,pred_change,pred_total,date,total_deaths,change
Alabama,17.39083480834961,506.3908348083496,2020-05-19,504,15
Alabama,13.645919799804688,520.0367546081543,2020-05-20,522,18
Alabama,12.949341773986816,532.9860963821411,2020-05-21,529,7
Alabama,10.96501350402832,543.9511098861694,2020-05-22,541,12
Alabama,8.307001113891602,552.258111000061,2020-05-23,549,8
Alabama,6.859029293060303,559.1171402931213,2020-05-24,551,2
Alabama,8.717669486999512,567.8348097801208,2020-05-25,566,15
Alabama,15.88963794708252,583.7244477272034,2020-05-26,580,14
Alabama,13.948420524597168,597.6728682518005,2020-05-27,583,3
Alabama,12.73203182220459,610.4049000740051,2020-05-28,591,8
Alabama,12.064597129821777,622.4694972038269,2020-05-29,610,19
Alabama,12.542491912841797,635.0119891166687,2020-05-30,618,8
Alabama,11.708745002746582,646.7207341194153,2020-05-31,630,12
Alabama,10.336819648742676,657.057553768158,2020-06-01,646,16
Alaska,1.7810876369476318,11.781087636947632,2020-05-19,10,0
Alaska,1.238338828086853,13.019426465034485,2020-05-20,10,0
Alaska,1.1603763103485107,14.179802775382996,2020-05-21,10,0
Alaska,1.1603763103485107,15.340179085731506,2020-05-22,10,0
Alaska,1.1603763103485107,16.500555396080017,2020-05-23,10,0
Alaska,0.6932830214500427,17.19383841753006,2020-05-24,10,0
Alaska,1.224340796470642,18.418179214000702,2020-05-25,10,0
Alaska,1.8187884092330933,20.236967623233795,2020-05-26,10,0
Alaska,1.684267282485962,21.921234905719757,2020-05-27,10,0
Alaska,1.3964930772781372,23.317727982997894,2020-05-28,10,0
Alaska,1.3671932220458984,24.684921205043793,2020-05-29,10,0
Alaska,1.3671932220458984,26.05211442708969,2020-05-30,10,0
Alaska,0.8650705814361572,26.91718500852585,2020-05-31,10,0
Alaska,1.4194614887237549,28.336646497249603,2020-06-01,10,0
Arizona,24.572614669799805,711.5726146697998,2020-05-19,705,18
Arizona,23.41122817993164,734.9838428497314,2020-05-20,747,42
Arizona,25.40373992919922,760.3875827789307,2020-05-21,764,17
Arizona,24.30847930908203,784.6960620880127,2020-05-22,775,11
Arizona,17.293516159057617,801.9895782470703,2020-05-23,801,26
Arizona,14.633501052856445,816.6230792999268,2020-05-24,801,0
Arizona,15.832205772399902,832.4552850723267,2020-05-25,807,6
Arizona,22.484163284301758,854.9394483566284,2020-05-26,810,3
Arizona,23.352025985717773,878.2914743423462,2020-05-27,834,24
Arizona,20.665878295898438,898.9573526382446,2020-05-28,860,26
Arizona,23.10776710510254,922.0651197433472,2020-05-29,886,26
Arizona,23.676069259643555,945.7411890029907,2020-05-30,904,18
Arizona,19.226564407348633,964.9677534103394,2020-05-31,907,3
Arizona,14.641105651855469,979.6088590621948,2020-06-01,918,11
Arkansas,2.2730863094329834,102.27308630943298,2020-05-19,102,2
Arkansas,1.4946422576904297,103.76772856712341,2020-05-20,107,5
Arkansas,1.4385000467300415,105.20622861385345,2020-05-21,110,3
Arkansas,2.054838180541992,107.26106679439545,2020-05-22,113,3
Arkansas,3.3084757328033447,110.56954252719879,2020-05-23,115,2
Arkansas,2.8833529949188232,113.45289552211761,2020-05-24,116,1
Arkansas,2.617658853530884,116.0705543756485,2020-05-25,117,1
Arkansas,2.950652837753296,119.0212072134018,2020-05-26,119,2
Arkansas,1.8779703378677368,120.89917755126953,2020-05-27,120,1
Arkansas,1.9289377927780151,122.82811534404755,2020-05-28,125,5
Arkansas,1.641480803489685,124.46959614753723,2020-05-29,132,7
Arkansas,3.3670451641082764,127.83664131164551,2020-05-30,133,1
Arkansas,3.857680559158325,131.69432187080383,2020-05-31,133,0
Arkansas,3.578446865081787,135.27276873588562,2020-06-01,133,0
California,78.09781646728516,3357.097816467285,2020-05-19,3403,124
California,89.60154724121094,3446.699363708496,2020-05-20,3497,94
California,84.4404067993164,3531.1397705078125,2020-05-21,3583,86
California,82.619384765625,3613.7591552734375,2020-05-22,3665,82
California,83.90057373046875,3697.6597290039062,2020-05-23,3737,72
California,61.399810791015625,3759.059539794922,2020-05-24,3753,16
California,58.212677001953125,3817.272216796875,2020-05-25,3768,15
California,90.86407470703125,3908.1362915039062,2020-05-26,3818,50
California,82.29144287109375,3990.427734375,2020-05-27,3894,76
California,82.52265167236328,4072.9503860473633,2020-05-28,3993,99
California,83.15074920654297,4156.101135253906,2020-05-29,4077,84
California,83.8263931274414,4239.927528381348,2020-05-30,4144,67
California,68.67752838134766,4308.605056762695,2020-05-31,4172,28
California,71.69072723388672,4380.295783996582,2020-06-01,4217,45
Colorado,34.52156066894531,1258.5215606689453,2020-05-19,1257,33
Colorado,34.76602554321289,1293.2875862121582,2020-05-20,1299,42
Colorado,36.35929870605469,1329.646884918213,2020-05-21,1310,11
Colorado,41.726402282714844,1371.3732872009277,2020-05-22,1324,14
Colorado,28.978548049926758,1400.3518352508545,2020-05-23,1327,3
Colorado,12.38297176361084,1412.7348070144653,2020-05-24,1332,5
Colorado,18.12782096862793,1430.8626279830933,2020-05-25,1333,1
Colorado,26.75263786315918,1457.6152658462524,2020-05-26,1352,19
Colorado,28.03679084777832,1485.6520566940308,2020-05-27,1392,40
Colorado,31.442317962646484,1517.0943746566772,2020-05-28,1421,29
Colorado,34.584171295166016,1551.6785459518433,2020-05-29,1436,15
Colorado,33.21229553222656,1584.8908414840698,2020-05-30,1443,7
Colorado,21.652633666992187,1606.543475151062,2020-05-31,1445,2
Colorado,15.748753547668457,1622.2922286987305,2020-06-01,1458,13
Connecticut,53.75939178466797,3503.759391784668,2020-05-19,3472,22
Connecticut,65.21903228759766,3568.9784240722656,2020-05-20,3529,57
Connecticut,66.085205078125,3635.0636291503906,2020-05-21,3583,54
Connecticut,57.92283630371094,3692.9864654541016,2020-05-22,3637,54
Connecticut,55.336578369140625,3748.323043823242,2020-05-23,3675,38
Connecticut,53.456398010253906,3801.779441833496,2020-05-24,3693,18
Connecticut,37.63080978393555,3839.4102516174316,2020-05-25,3742,49
Connecticut,37.467994689941406,3876.878246307373,2020-05-26,3769,27
Connecticut,50.33267593383789,3927.210922241211,2020-05-27,3803,34
Connecticut,53.46942138671875,3980.6803436279297,2020-05-28,3826,23
Connecticut,52.76862335205078,4033.4489669799805,2020-05-29,3868,42
Connecticut,53.98551559448242,4087.434482574463,2020-05-30,3912,44
Connecticut,48.16273880004883,4135.597221374512,2020-05-31,3944,32
Connecticut,51.61952209472656,4187.216743469238,2020-06-01,3970,26
Delaware,11.130457878112793,308.1304578781128,2020-05-19,304,7
Delaware,9.160162925720215,317.290620803833,2020-05-20,310,6
Delaware,8.406042098999023,325.69666290283203,2020-05-21,317,7
Delaware,8.947539329528809,334.64420223236084,2020-05-22,322,5
Delaware,8.118499755859375,342.7627019882202,2020-05-23,322,0
Delaware,5.790805339813232,348.55350732803345,2020-05-24,326,4
Delaware,6.236093521118164,354.7896008491516,2020-05-25,332,6
Delaware,6.736537456512451,361.52613830566406,2020-05-26,335,3
Delaware,7.170601844787598,368.69674015045166,2020-05-27,344,9
Delaware,8.737676620483398,377.43441677093506,2020-05-28,345,1
Delaware,6.624390602111816,384.0588073730469,2020-05-29,356,11
Delaware,7.827850818634033,391.8866581916809,2020-05-30,361,5
Delaware,5.447577953338623,397.33423614501953,2020-05-31,366,5
Delaware,7.401949405670166,404.7361855506897,2020-06-01,368,2
District of Columbia,9.84719181060791,401.8471918106079,2020-05-19,400,8
District of Columbia,10.037854194641113,411.885046005249,2020-05-20,407,7
District of Columbia,9.151920318603516,421.03696632385254,2020-05-21,412,5
District of Columbia,8.00540828704834,429.0423746109009,2020-05-22,418,6
District of Columbia,7.508141040802002,436.5505156517029,2020-05-23,427,9
District of Columbia,7.630151271820068,444.18066692352295,2020-05-24,432,5
District of Columbia,7.374372482299805,451.55503940582275,2020-05-25,440,8
District of Columbia,9.499246597290039,461.0542860031128,2020-05-26,440,0
District of Columbia,8.102388381958008,469.1566743850708,2020-05-27,445,5
District of Columbia,7.6307172775268555,476.78739166259766,2020-05-28,453,8
District of Columbia,6.9490742683410645,483.7364659309387,2020-05-29,460,7
District of Columbia,8.255827903747559,491.9922938346863,2020-05-30,462,2
District of Columbia,6.993698596954346,498.9859924316406,2020-05-31,466,4
District of Columbia,6.572549819946289,505.5585422515869,2020-06-01,468,2
Florida,39.472984313964844,2036.4729843139648,2020-05-19,2052,55
Florida,43.69294738769531,2080.16593170166,2020-05-20,2096,44
Florida,45.575565338134766,2125.741497039795,2020-05-21,2144,48
Florida,41.51179122924805,2167.253288269043,2020-05-22,2190,46
Florida,36.48295211791992,2203.736240386963,2020-05-23,2233,43
Florida,24.472156524658203,2228.208396911621,2020-05-24,2237,4
Florida,28.9984188079834,2257.2068157196045,2020-05-25,2252,15
Florida,44.20289611816406,2301.4097118377686,2020-05-26,2259,7
Florida,42.68889236450195,2344.0986042022705,2020-05-27,2319,60
Florida,33.968544006347656,2378.067148208618,2020-05-28,2364,45
Florida,41.02080154418945,2419.0879497528076,2020-05-29,2413,49
Florida,42.92036437988281,2462.0083141326904,2020-05-30,2447,34
Florida,33.33594512939453,2495.344259262085,2020-05-31,2451,4
Florida,25.82759666442871,2521.1718559265137,2020-06-01,2460,9
Georgia,42.775245666503906,1691.775245666504,2020-05-19,1675,26
Georgia,28.50333595275879,1720.2785816192627,2020-05-20,1697,22
Georgia,31.8828125,1752.1613941192627,2020-05-21,1775,78
Georgia,42.83689880371094,1794.9982929229736,2020-05-22,1808,33
Georgia,30.19085693359375,1825.1891498565674,2020-05-23,1822,14
Georgia,34.583168029785156,1859.7723178863525,2020-05-24,1827,5
Georgia,25.938064575195313,1885.7103824615479,2020-05-25,1848,21
