state,pred_change,pred_total,date,total_deaths,change
Alabama,17.093189239501953,506.09318923950195,2020-05-19,504,15
Alabama,18.85504722595215,524.9482364654541,2020-05-20,522,18
Alabama,12.602959632873535,537.5511960983276,2020-05-21,529,7
Alabama,9.35538387298584,546.9065799713135,2020-05-22,541,12
Alabama,6.217576026916504,553.12415599823,2020-05-23,549,8
Alabama,4.929571628570557,558.0537276268005,2020-05-24,551,2
Alabama,6.115080833435059,564.1688084602356,2020-05-25,566,15
Alabama,11.434185028076172,575.6029934883118,2020-05-26,580,14
Alabama,11.66003131866455,587.2630248069763,2020-05-27,583,3
Alabama,11.199560165405273,598.4625849723816,2020-05-28,591,8
Alabama,6.982582092285156,605.4451670646667,2020-05-29,610,19
Alabama,7.128078460693359,612.5732455253601,2020-05-30,618,8
Alabama,4.422755241394043,616.9960007667542,2020-05-31,630,12
Alabama,5.483957290649414,622.4799580574036,2020-06-01,646,16
Alaska,4.546497344970703,14.546497344970703,2020-05-19,10,0
Alaska,5.5448832511901855,20.09138059616089,2020-05-20,10,0
Alaska,5.280682563781738,25.372063159942627,2020-05-21,10,0
Alaska,2.7304675579071045,28.10253071784973,2020-05-22,10,0
Alaska,4.273576259613037,32.37610697746277,2020-05-23,10,0
Alaska,3.004568099975586,35.380675077438354,2020-05-24,10,0
Alaska,3.5184853076934814,38.899160385131836,2020-05-25,10,0
Alaska,5.941013336181641,44.84017372131348,2020-05-26,10,0
Alaska,7.042995452880859,51.883169174194336,2020-05-27,10,0
Alaska,7.953756809234619,59.836925983428955,2020-05-28,10,0
Alaska,5.796108245849609,65.63303422927856,2020-05-29,10,0
Alaska,6.517826557159424,72.15086078643799,2020-05-30,10,0
Alaska,3.7165279388427734,75.86738872528076,2020-05-31,10,0
Alaska,5.769980430603027,81.63736915588379,2020-06-01,10,0
Arizona,25.95415496826172,712.9541549682617,2020-05-19,705,18
Arizona,28.27079200744629,741.224946975708,2020-05-20,747,42
Arizona,26.84187126159668,768.0668182373047,2020-05-21,764,17
Arizona,25.154891967773438,793.2217102050781,2020-05-22,775,11
Arizona,13.862071990966797,807.0837821960449,2020-05-23,801,26
Arizona,5.145364284515381,812.2291464805603,2020-05-24,801,0
Arizona,6.305961608886719,818.535108089447,2020-05-25,807,6
Arizona,25.128358840942383,843.6634669303894,2020-05-26,810,3
Arizona,30.067394256591797,873.7308611869812,2020-05-27,834,24
Arizona,25.817256927490234,899.5481181144714,2020-05-28,860,26
Arizona,22.19719123840332,921.7453093528748,2020-05-29,886,26
Arizona,14.032004356384277,935.777313709259,2020-05-30,904,18
Arizona,5.014742851257324,940.7920565605164,2020-05-31,907,3
Arizona,7.242809295654297,948.0348658561707,2020-06-01,918,11
Arkansas,0.3922482132911682,100.39224821329117,2020-05-19,102,2
Arkansas,0.8327659964561462,101.22501420974731,2020-05-20,107,5
Arkansas,1.471350908279419,102.69636511802673,2020-05-21,110,3
Arkansas,-1.7849247455596924,100.91144037246704,2020-05-22,113,3
Arkansas,0.05105847120285034,100.96249884366989,2020-05-23,115,2
Arkansas,-0.9694541096687317,99.99304473400116,2020-05-24,116,1
Arkansas,-0.6729422211647034,99.32010251283646,2020-05-25,117,1
Arkansas,-0.5947514176368713,98.72535109519958,2020-05-26,119,2
Arkansas,-0.9647846817970276,97.76056641340256,2020-05-27,120,1
Arkansas,-0.4296913743019104,97.33087503910065,2020-05-28,125,5
Arkansas,-2.6098203659057617,94.72105467319489,2020-05-29,132,7
Arkansas,-0.1358216404914856,94.5852330327034,2020-05-30,133,1
Arkansas,-1.4205005168914795,93.16473251581192,2020-05-31,133,0
Arkansas,-0.9801726937294006,92.18455982208252,2020-06-01,133,0
California,70.99333953857422,3349.993339538574,2020-05-19,3403,124
California,78.43730163574219,3428.4306411743164,2020-05-20,3497,94
California,68.61334228515625,3497.0439834594727,2020-05-21,3583,86
California,63.800235748291016,3560.8442192077637,2020-05-22,3665,82
California,54.23394775390625,3615.07816696167,2020-05-23,3737,72
California,39.4969367980957,3654.5751037597656,2020-05-24,3753,16
California,40.763519287109375,3695.338623046875,2020-05-25,3768,15
California,62.07469177246094,3757.413314819336,2020-05-26,3818,50
California,69.85411834716797,3827.267433166504,2020-05-27,3894,76
California,64.89986419677734,3892.1672973632812,2020-05-28,3993,99
California,58.81088638305664,3950.978183746338,2020-05-29,4077,84
California,52.9479866027832,4003.926170349121,2020-05-30,4144,67
California,40.9792594909668,4044.905429840088,2020-05-31,4172,28
California,42.966705322265625,4087.8721351623535,2020-06-01,4217,45
Colorado,41.47701644897461,1265.4770164489746,2020-05-19,1257,33
Colorado,45.795188903808594,1311.2722053527832,2020-05-20,1299,42
Colorado,46.255836486816406,1357.5280418395996,2020-05-21,1310,11
Colorado,43.951271057128906,1401.4793128967285,2020-05-22,1324,14
Colorado,37.66853332519531,1439.1478462219238,2020-05-23,1327,3
Colorado,24.836585998535156,1463.984432220459,2020-05-24,1332,5
Colorado,26.2750186920166,1490.2594509124756,2020-05-25,1333,1
Colorado,49.38329315185547,1539.642744064331,2020-05-26,1352,19
Colorado,59.101131439208984,1598.74387550354,2020-05-27,1392,40
Colorado,54.80635452270508,1653.5502300262451,2020-05-28,1421,29
Colorado,51.26765441894531,1704.8178844451904,2020-05-29,1436,15
Colorado,46.87204360961914,1751.6899280548096,2020-05-30,1443,7
Colorado,37.00090408325195,1788.6908321380615,2020-05-31,1445,2
Colorado,36.8604736328125,1825.551305770874,2020-06-01,1458,13
Connecticut,60.2486457824707,3510.2486457824707,2020-05-19,3472,22
Connecticut,66.4176025390625,3576.666248321533,2020-05-20,3529,57
Connecticut,63.25141525268555,3639.9176635742187,2020-05-21,3583,54
Connecticut,58.50038528442383,3698.4180488586426,2020-05-22,3637,54
Connecticut,50.87464141845703,3749.2926902770996,2020-05-23,3675,38
Connecticut,43.23741149902344,3792.530101776123,2020-05-24,3693,18
Connecticut,49.092376708984375,3841.6224784851074,2020-05-25,3742,49
Connecticut,66.74336242675781,3908.3658409118652,2020-05-26,3769,27
Connecticut,72.47218322753906,3980.8380241394043,2020-05-27,3803,34
Connecticut,72.20441436767578,4053.04243850708,2020-05-28,3826,23
Connecticut,67.61041259765625,4120.652851104736,2020-05-29,3868,42
Connecticut,53.79728317260742,4174.450134277344,2020-05-30,3912,44
Connecticut,41.02372741699219,4215.473861694336,2020-05-31,3944,32
Connecticut,41.42202377319336,4256.895885467529,2020-06-01,3970,26
Delaware,12.209152221679688,309.2091522216797,2020-05-19,304,7
Delaware,14.267205238342285,323.476357460022,2020-05-20,310,6
Delaware,11.83702278137207,335.31338024139404,2020-05-21,317,7
Delaware,10.292598724365234,345.6059789657593,2020-05-22,322,5
Delaware,5.808996677398682,351.41497564315796,2020-05-23,322,0
Delaware,2.987765073776245,354.4027407169342,2020-05-24,326,4
Delaware,3.733469009399414,358.1362097263336,2020-05-25,332,6
Delaware,15.308778762817383,373.444988489151,2020-05-26,335,3
Delaware,14.76827335357666,388.21326184272766,2020-05-27,344,9
Delaware,14.103856086730957,402.3171179294586,2020-05-28,345,1
Delaware,12.375163078308105,414.6922810077667,2020-05-29,356,11
Delaware,6.964400768280029,421.65668177604675,2020-05-30,361,5
Delaware,3.5628573894500732,425.2195391654968,2020-05-31,366,5
Delaware,4.341752052307129,429.56129121780396,2020-06-01,368,2
District of Columbia,10.521036148071289,402.5210361480713,2020-05-19,400,8
District of Columbia,11.769963264465332,414.2909994125366,2020-05-20,407,7
District of Columbia,9.646665573120117,423.93766498565674,2020-05-21,412,5
District of Columbia,7.765761375427246,431.703426361084,2020-05-22,418,6
District of Columbia,5.595207691192627,437.2986340522766,2020-05-23,427,9
District of Columbia,2.5531222820281982,439.8517563343048,2020-05-24,432,5
District of Columbia,3.7148544788360596,443.56661081314087,2020-05-25,440,8
District of Columbia,12.453025817871094,456.01963663101196,2020-05-26,440,0
District of Columbia,13.09459400177002,469.114230632782,2020-05-27,445,5
District of Columbia,11.705998420715332,480.8202290534973,2020-05-28,453,8
District of Columbia,8.610661506652832,489.43089056015015,2020-05-29,460,7
District of Columbia,5.629554748535156,495.0604453086853,2020-05-30,462,2
District of Columbia,2.6414151191711426,497.70186042785645,2020-05-31,466,4
