state,date,total_deaths,change,pred_change,pred_total
Alabama,2020-05-19,504,15,21.864500000000007,510.8645
Alabama,2020-05-20,522,18,18.340055555555562,529.2045555555555
Alabama,2020-05-21,529,7,16.56461111111111,545.7691666666667
Alabama,2020-05-22,541,12,11.694555555555556,557.4637222222223
Alabama,2020-05-23,549,8,9.929444444444446,567.3931666666667
Alabama,2020-05-24,551,2,7.475055555555557,574.8682222222222
Alabama,2020-05-25,566,15,15.115277777777777,589.9835
Alabama,2020-05-26,580,14,22.604944444444442,612.5884444444445
Alabama,2020-05-27,583,3,19.704222222222217,632.2926666666667
Alabama,2020-05-28,591,8,16.858555555555558,649.1512222222223
Alabama,2020-05-29,610,19,14.47155555555555,663.6227777777779
Alabama,2020-05-30,618,8,19.46311111111112,683.085888888889
Alabama,2020-05-31,630,12,15.166833333333324,698.2527222222224
Alabama,2020-06-01,646,16,18.54972222222222,716.8024444444446
Alaska,2020-05-19,10,0,0.23372222222222225,10.233722222222223
Alaska,2020-05-20,10,0,0.48100000000000004,10.714722222222223
Alaska,2020-05-21,10,0,0.6033333333333335,11.318055555555556
Alaska,2020-05-22,10,0,0.5991111111111113,11.917166666666668
Alaska,2020-05-23,10,0,0.6910000000000002,12.60816666666667
Alaska,2020-05-24,10,0,0.782277777777778,13.390444444444448
Alaska,2020-05-25,10,0,0.8268888888888891,14.217333333333338
Alaska,2020-05-26,10,0,0.8713333333333333,15.088666666666672
Alaska,2020-05-27,10,0,1.0498888888888889,16.138555555555563
Alaska,2020-05-28,10,0,1.1527777777777777,17.29133333333334
Alaska,2020-05-29,10,0,1.2309444444444444,18.522277777777784
Alaska,2020-05-30,10,0,1.4163333333333334,19.93861111111112
Alaska,2020-05-31,10,0,1.4017222222222219,21.34033333333334
Alaska,2020-06-01,10,0,1.4916111111111108,22.831944444444453
Arizona,2020-05-19,705,18,30.506611111111113,717.5066111111112
Arizona,2020-05-20,747,42,36.147722222222214,753.6543333333334
Arizona,2020-05-21,764,17,30.021055555555563,783.675388888889
Arizona,2020-05-22,775,11,33.3212777777778,816.9966666666668
Arizona,2020-05-23,801,26,17.760666666666673,834.7573333333335
Arizona,2020-05-24,801,0,13.568944444444442,848.3262777777779
Arizona,2020-05-25,807,6,11.58872222222222,859.9150000000002
Arizona,2020-05-26,810,3,24.929222222222222,884.8442222222225
Arizona,2020-05-27,834,24,32.086388888888884,916.9306111111114
Arizona,2020-05-28,860,26,26.015833333333344,942.9464444444448
Arizona,2020-05-29,886,26,27.122333333333337,970.0687777777781
Arizona,2020-05-30,904,18,31.733555555555558,1001.8023333333336
Arizona,2020-05-31,907,3,28.36427777777777,1030.1666111111115
Arizona,2020-06-01,918,11,22.99283333333333,1053.1594444444447
Arkansas,2020-05-19,102,2,1.8391111111111116,101.83911111111111
Arkansas,2020-05-20,107,5,2.134555555555556,103.97366666666666
Arkansas,2020-05-21,110,3,2.4375,106.41116666666666
Arkansas,2020-05-22,113,3,3.359611111111112,109.77077777777777
Arkansas,2020-05-23,115,2,3.8807222222222224,113.65149999999998
Arkansas,2020-05-24,116,1,3.9879444444444454,117.63944444444444
Arkansas,2020-05-25,117,1,3.083722222222223,120.72316666666666
Arkansas,2020-05-26,119,2,3.5941111111111113,124.31727777777778
Arkansas,2020-05-27,120,1,3.912722222222223,128.23
Arkansas,2020-05-28,125,5,3.9550555555555564,132.18505555555555
Arkansas,2020-05-29,132,7,3.9326666666666674,136.11772222222223
Arkansas,2020-05-30,133,1,4.535222222222223,140.65294444444444
Arkansas,2020-05-31,133,0,4.2790000000000035,144.93194444444444
Arkansas,2020-06-01,133,0,4.225777777777779,149.15772222222222
California,2020-05-19,3403,124,86.70227777777781,3365.702277777778
California,2020-05-20,3497,94,88.73899999999996,3454.441277777778
California,2020-05-21,3583,86,95.05433333333332,3549.4956111111114
California,2020-05-22,3665,82,86.67166666666664,3636.167277777778
California,2020-05-23,3737,72,78.34038888888888,3714.507666666667
California,2020-05-24,3753,16,47.46083333333334,3761.9685000000004
California,2020-05-25,3768,15,49.04611111111112,3811.0146111111117
California,2020-05-26,3818,50,80.12383333333337,3891.138444444445
California,2020-05-27,3894,76,88.07038888888891,3979.208833333334
California,2020-05-28,3993,99,89.84611111111104,4069.054944444445
California,2020-05-29,4077,84,86.64233333333333,4155.697277777778
California,2020-05-30,4144,67,89.73077777777782,4245.428055555556
California,2020-05-31,4172,28,83.88405555555558,4329.312111111111
California,2020-06-01,4217,45,74.34772222222223,4403.659833333333
Colorado,2020-05-19,1257,33,34.773166666666654,1258.7731666666666
Colorado,2020-05-20,1299,42,37.69638888888889,1296.4695555555554
Colorado,2020-05-21,1310,11,35.489833333333344,1331.9593888888887
Colorado,2020-05-22,1324,14,33.44144444444446,1365.4008333333331
Colorado,2020-05-23,1327,3,29.429555555555556,1394.8303888888886
Colorado,2020-05-24,1332,5,19.970166666666664,1414.8005555555553
Colorado,2020-05-25,1333,1,16.37311111111112,1431.1736666666663
Colorado,2020-05-26,1352,19,30.454722222222227,1461.6283888888886
Colorado,2020-05-27,1392,40,34.538444444444444,1496.166833333333
Colorado,2020-05-28,1421,29,25.0368888888889,1521.2037222222218
Colorado,2020-05-29,1436,15,34.09777777777779,1555.3014999999996
Colorado,2020-05-30,1443,7,36.40766666666667,1591.7091666666663
Colorado,2020-05-31,1445,2,29.161111111111108,1620.8702777777773
Colorado,2020-06-01,1458,13,28.14277777777778,1649.0130555555552
Connecticut,2020-05-19,3472,22,50.974333333333334,3500.9743333333336
Connecticut,2020-05-20,3529,57,70.5912222222222,3571.565555555556
Connecticut,2020-05-21,3583,54,67.984,3639.549555555556
Connecticut,2020-05-22,3637,54,56.37155555555556,3695.9211111111113
Connecticut,2020-05-23,3675,38,52.00488888888888,3747.926
Connecticut,2020-05-24,3693,18,49.449055555555546,3797.3750555555553
Connecticut,2020-05-25,3742,49,38.45588888888887,3835.830944444444
Connecticut,2020-05-26,3769,27,41.42666666666667,3877.2576111111107
Connecticut,2020-05-27,3803,34,55.492388888888875,3932.7499999999995
Connecticut,2020-05-28,3826,23,49.416722222222234,3982.166722222222
Connecticut,2020-05-29,3868,42,46.517777777777795,4028.6844999999994
Connecticut,2020-05-30,3912,44,52.64405555555556,4081.328555555555
Connecticut,2020-05-31,3944,32,58.290333333333344,4139.618888888888
Connecticut,2020-06-01,3970,26,54.87966666666666,4194.498555555555
Delaware,2020-05-19,304,7,11.028000000000002,308.028
Delaware,2020-05-20,310,6,11.041388888888891,319.0693888888889
Delaware,2020-05-21,317,7,10.440333333333337,329.50972222222225
Delaware,2020-05-22,322,5,8.962833333333336,338.4725555555556
Delaware,2020-05-23,322,0,7.876333333333334,346.3488888888889
Delaware,2020-05-24,326,4,5.2990555555555545,351.6479444444444
Delaware,2020-05-25,332,6,6.788777777777776,358.4367222222222
Delaware,2020-05-26,335,3,9.274777777777778,367.7115
Delaware,2020-05-27,344,9,8.765611111111111,376.4771111111111
Delaware,2020-05-28,345,1,9.00438888888889,385.48150000000004
Delaware,2020-05-29,356,11,6.518833333333332,392.00033333333334
Delaware,2020-05-30,361,5,8.896499999999996,400.89683333333335
Delaware,2020-05-31,366,5,7.198277777777777,408.0951111111111
Delaware,2020-06-01,368,2,7.043277777777777,415.1383888888889
District of Columbia,2020-05-19,400,8,9.729833333333332,401.7298333333333
District of Columbia,2020-05-20,407,7,10.955555555555556,412.6853888888889
District of Columbia,2020-05-21,412,5,9.778000000000004,422.4633888888889
District of Columbia,2020-05-22,418,6,9.642944444444442,432.10633333333334
District of Columbia,2020-05-23,427,9,8.782222222222222,440.88855555555557
District of Columbia,2020-05-24,432,5,9.022611111111111,449.9111666666667
District of Columbia,2020-05-25,440,8,8.779888888888891,458.6910555555556
District of Columbia,2020-05-26,440,0,10.108888888888892,468.79994444444446
District of Columbia,2020-05-27,445,5,10.71527777777778,479.51522222222223
District of Columbia,2020-05-28,453,8,9.471000000000002,488.98622222222224
District of Columbia,2020-05-29,460,7,8.959666666666665,497.94588888888893
District of Columbia,2020-05-30,462,2,8.649833333333333,506.59572222222226
District of Columbia,2020-05-31,466,4,9.69266666666667,516.2883888888889
District of Columbia,2020-06-01,468,2,9.025222222222224,525.3136111111111
Florida,2020-05-19,2052,55,45.60727777777778,2042.6072777777779
Florida,2020-05-20,2096,44,46.502555555555546,2089.1098333333334
Florida,2020-05-21,2144,48,45.52749999999998,2134.6373333333336
Florida,2020-05-22,2190,46,46.80972222222223,2181.447055555556
Florida,2020-05-23,2233,43,36.61544444444445,2218.0625000000005
Florida,2020-05-24,2237,4,20.375833333333333,2238.438333333334
Florida,2020-05-25,2252,15,23.244055555555562,2261.6823888888894
Florida,2020-05-26,2259,7,44.45988888888889,2306.1422777777784
Florida,2020-05-27,2319,60,45.89222222222221,2352.0345000000007
Florida,2020-05-28,2364,45,49.29427777777779,2401.3287777777787
Florida,2020-05-29,2413,49,45.238944444444456,2446.567722222223
Florida,2020-05-30,2447,34,43.86905555555555,2490.4367777777784
Florida,2020-05-31,2451,4,39.685222222222215,2530.1220000000008
Florida,2020-06-01,2460,9,36.896444444444455,2567.0184444444453
Georgia,2020-05-19,1675,26,37.26783333333332,1686.2678333333333
Georgia,2020-05-20,1697,22,28.45044444444446,1714.7182777777778
Georgia,2020-05-21,1775,78,30.653055555555547,1745.3713333333333
Georgia,2020-05-22,1808,33,45.911166666666645,1791.2824999999998
Georgia,2020-05-23,1822,14,28.922777777777785,1820.2052777777776
